stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id,WGS84,Israel1993,yx,y,x,betweeness,log-betweeness,central
153,39060,יהודה שטיין/קרן היסוד,רחוב: יהודה שטיין עיר: רמלה רציף:  קומה:,31.926545,34.855866,0,,39060,POINT (34.855866 31.926545),POINT (186485.18943302892 648218.9618223562),[648218.9618223562 186485.18943302892],648218.9618223562,186485.18943302892,0.0016308179562936713,-6.418673576352744,true
159,39066,שמשון הגיבור/המסגד,רחוב: שמשון הגיבור עיר: רמלה רציף:  קומה:,31.926441,34.866014,0,,39066,POINT (34.866014 31.926441),POINT (187444.85077135352 648204.3861646745),[648204.3861646745 187444.85077135352],648204.3861646745,187444.85077135352,4.8110646777110495E-6,-12.244592151622701,false
161,39068,ביאליק/חניתה,רחוב: ח.נ. ביאליק 19 עיר: רמלה רציף:  קומה:,31.924484,34.870366,0,,39068,POINT (34.870366 31.924484),POINT (187855.75090624127 647986.1018058893),[647986.1018058893 187855.75090624127],647986.1018058893,187855.75090624127,1.510496209700405E-4,-8.79790215943603,false
162,39069,קופת חולים כללית/ביאליק,רחוב: ח.נ. ביאליק 34 עיר: רמלה רציף:  קומה:,31.921629,34.868801,0,,39069,POINT (34.868801 31.921629),POINT (187706.76458603464 647669.9757341399),[647669.9757341399 187706.76458603464],647669.9757341399,187706.76458603464,2.9374516461196618E-5,-10.435383046530868,false
163,39070,א.ס לוי/סעדיה מרדכי,רחוב: א.ס. לוי 1 עיר: רמלה רציף:  קומה:,31.9209,34.861221,0,,39070,POINT (34.861221 31.9209),POINT (186989.62913086748 647591.3848946183),[647591.3848946183 186989.62913086748],647591.3848946183,186989.62913086748,3.564026138498886E-4,-7.939449528360034,false
164,39071,רזיאל/זכריה,רחוב: שדרות דוד רזיאל 5 עיר: רמלה רציף:  קומה:,31.923666,34.862813,0,,39071,POINT (34.862813 31.923666),POINT (187141.1611436227 647897.6236544029),[647897.6236544029 187141.1611436227],647897.6236544029,187141.1611436227,2.0495358856715092E-4,-8.492727001690998,false
165,39072,חרוד א,רחוב: חרוד עיר: ישרש רציף:  קומה:,31.912572,34.850134,0,,39072,POINT (34.850134 31.912572),POINT (185938.04637353355 646671.2901284023),[646671.2901284023 185938.04637353355],646671.2901284023,185938.04637353355,1.5843244443722107E-4,-8.750182273565372,false
166,39073,חרוד/הירדן,רחוב: חרוד עיר: ישרש רציף:  קומה:,31.915977,34.848217,0,,39073,POINT (34.848217 31.915977),POINT (185757.96923570568 647049.456086541),[647049.456086541 185757.96923570568],647049.456086541,185757.96923570568,9.085360749715316E-6,-11.608846148625426,false
167,39074,הירדן/דן,רחוב: הירדן עיר: ישרש רציף:  קומה:,31.915321,34.852309,0,,39074,POINT (34.852309 31.915321),POINT (186144.75813220348 646975.4488797296),[646975.4488797296 186144.75813220348],646975.4488797296,186144.75813220348,0.0,-Infinity,false
168,39075,הירדן/דן,רחוב: הירדן עיר: ישרש רציף:  קומה:,31.915489,34.852139,0,,39075,POINT (34.852139 31.915489),POINT (186128.73982634157 646994.1302243773),[646994.1302243773 186128.73982634157],646994.1302243773,186128.73982634157,4.129701628398121E-6,-12.397305398541047,false
169,39076,עוזי חיטמן/שושנה דמארי,רחוב: עוזי חיטמן 44 עיר: רמלה רציף:  קומה:,31.917022,34.868261,0,,39076,POINT (34.868261 31.917022),POINT (187654.10885946613 647159.276025518),[647159.276025518 187654.10885946613],647159.276025518,187654.10885946613,1.0365554599666449E-4,-9.17443721355142,false
