stop_lat0,stop_lat1,stop_lon0,stop_lon1,stop_id0,stop_id1,w,yx-distance
32.117801,32.112655,34.801382,34.801364,13052,13126,1,570.6523540733924
32.108604,32.112655,34.80138,34.801364,13118,13126,1,449.225384116324
32.075465,32.078796,34.78282,34.781162,12858,13127,1,401.18182556068103
32.072666,32.067602,34.79339,34.792921,12824,13128,1,563.2965752907916
32.064876,32.067602,34.792274,34.792921,13062,13128,1,308.4013366081431
32.071549,32.067602,34.794118,34.792921,13113,13128,1,452.0456710594493
32.075664,32.0796,34.782893,34.780657,12893,13129,1,484.8447412763395
32.069847,32.065464,34.793808,34.792625,12987,13130,1,498.7076439215028
32.061469,32.065464,34.792128,34.792625,13095,13130,1,445.4889961184357
32.052456,32.049334,34.799862,34.799322,12915,13132,1,349.9373733184872
32.063825,32.061938,34.796455,34.799749,13070,13133,1,374.8897517844657
32.105466,32.107787,34.827796,34.827298,13087,13135,1,261.63612803140967
32.103514,32.107787,34.827868,34.827298,13088,13135,1,476.8839289636864
32.095376,32.090293,34.794137,34.795303,12910,13136,1,574.3086669921648
32.045863,32.046689,34.804118,34.799899,12984,13138,1,408.8690903834501
32.049334,32.046689,34.799322,34.799899,13132,13138,1,298.32570036666755
32.084365,32.089296,34.809367,34.818138,12916,13140,1,992.2928917693687
32.092133,32.089296,34.822562,34.818138,12939,13140,1,522.8695471100417
32.079787,32.076736,34.787792,34.787868,12814,13143,1,338.40577426231727
32.075664,32.076736,34.782893,34.787868,12893,13143,1,484.5366374490511
32.080094,32.076736,34.788557,34.787868,12903,13143,1,378.0128289351447
32.078598,32.076736,34.788342,34.787868,12924,13143,1,211.2741184827073
32.121636,32.118007,34.80015,34.802148,12974,13145,1,444.41101920267516
32.050661,32.054302,34.773917,34.77526,13148,13149,1,423.20798469849177
32.054302,32.056561,34.77526,34.776495,13149,13150,1,276.32386726829276
32.080511,32.075695,34.841412,34.833839,13037,13151,1,892.4378121265606
32.085001,32.080979,34.840061,34.840267,13038,13152,1,446.42741440390415
32.106365,32.105513,34.816519,34.81257,13093,13153,1,384.5215369660133
32.12048,32.121877,34.819657,34.821768,13131,13155,1,252.3618974002948
32.069559,32.070268,34.828538,34.825837,13002,13157,1,266.882153705671
32.073636,32.070268,34.824917,34.825837,13016,13157,1,383.4499382441493
32.066666,32.070201,34.828536,34.827992,12950,13158,1,395.35039467258116
32.07038,32.070201,34.825556,34.827992,13156,13158,1,230.8703058474218
32.058355,32.059453,34.828604,34.828104,12837,13159,1,130.59287540214422
32.046062,32.045785,34.804024,34.805717,13081,13161,1,162.82509090496174
32.045205,32.045785,34.808983,34.805717,13082,13161,1,315.10428091840424
32.046062,32.046839,34.804024,34.800032,13081,13162,1,386.7566017696636
32.058329,32.055762,34.773308,34.772525,13108,13164,1,294.10507674018595
32.044374,32.047971,34.768679,34.768941,13116,13165,1,399.64194157912664
32.065133,32.064589,34.787835,34.791082,13071,13166,1,312.4899246310149
32.061469,32.064589,34.792128,34.791082,13095,13166,1,359.8038779468932
32.063416,32.061639,34.780072,34.780191,12952,13167,1,197.3738426747737
32.061845,32.061639,34.777575,34.780191,13042,13167,1,248.08959843916205
32.058694,32.061639,34.778725,34.780191,13109,13167,1,354.7065029043581
32.056554,32.055332,34.806935,34.809903,13078,13169,1,311.33047957583796
32.041085,32.039169,34.774263,34.777451,13163,13170,1,368.5330696649963
32.059183,32.059319,34.798721,34.80295,12988,13173,1,399.65011279693726
32.061469,32.059319,34.792128,34.80295,13095,13173,1,1049.404554720324
32.090518,32.087547,34.825597,34.828114,13043,13174,1,406.2061668395635
32.056554,32.057317,34.806935,34.805055,13078,13177,1,196.6723429654071
32.059214,32.057317,34.79378,34.805055,13083,13177,1,1085.3467233487902
32.059319,32.057317,34.80295,34.805055,13173,13177,1,297.99678499361374
32.038789,32.04815,34.779755,34.78452,12959,13178,1,1131.4154687600676
32.108106,32.102795,34.801446,34.793726,13049,13179,1,936.9204086232852
32.095157,32.102795,34.794466,34.793726,13067,13179,1,849.8663392380553
32.10372,32.102795,34.797126,34.793726,13096,13179,1,336.91928856712633
32.066029,32.063113,34.82832,34.828322,12906,13180,1,323.3575655416658
32.059453,32.063113,34.828104,34.828322,13159,13180,1,406.3818042285227
32.095157,32.092013,34.794466,34.795206,13067,13181,1,355.5726671457869
32.086375,32.092013,34.795493,34.795206,13154,13181,1,625.7932169629253
32.102795,32.092013,34.793726,34.795206,13179,13181,1,1203.768468645536
32.092564,32.092587,34.840305,34.836024,12898,13182,1,404.13622056199904
32.091484,32.092587,34.831208,34.836024,13036,13182,1,470.80109259810274
32.065088,32.065354,34.787567,34.785844,13004,13186,1,165.35331332318492
32.076767,32.066814,34.844303,34.839819,12962,13188,1,1182.1173392703386
32.082795,32.092033,34.845457,34.847163,12979,13191,1,1036.9944060707835
32.128115,32.092999,34.828144,34.846516,12930,13192,1,4262.681415272435
32.106557,32.111576,34.827452,34.835119,12973,13195,1,912.9165268267626
32.103618,32.111576,34.827642,34.835119,13053,13195,1,1129.9546681400625
32.043843,32.038484,34.816924,34.828142,13098,13197,1,1214.8465915113482
32.084365,32.083114,34.809367,34.80505,12916,13198,1,430.52919066272625
32.087371,32.085293,34.812976,34.810136,13026,13199,1,353.5324158988307
32.089649,32.085293,34.818457,34.810136,13101,13199,1,922.182517763191
32.084227,32.085293,34.808446,34.810136,13123,13199,1,198.57001631761833
32.059083,32.060318,34.809867,34.806529,12830,13200,1,343.6864560024281
32.06176,32.060318,34.804856,34.806529,12885,13200,1,224.78716825447165
32.059319,32.060318,34.80295,34.806529,13173,13200,1,355.67267799174914
32.10609,32.111325,34.800994,34.807491,12944,13202,1,844.4124648022323
32.103618,32.098809,34.827642,34.827472,13053,13203,1,533.518242264973
32.101244,32.098809,34.827845,34.827472,13090,13203,1,272.3063522402538
32.073483,32.075758,34.791645,34.791549,12823,13204,1,252.44050981693294
32.071565,32.075758,34.797751,34.791549,12847,13204,1,747.7398267233301
32.070648,32.075758,34.78884,34.791549,12932,13204,1,621.7102941437253
32.073483,32.07238,34.791645,34.789654,12823,13206,1,224.2800882451408
32.069409,32.07238,34.786788,34.789654,12951,13206,1,426.3518733435036
32.074592,32.07238,34.790584,34.789654,13103,13206,1,260.5354513071919
32.089296,32.091018,34.818138,34.823639,13140,13207,1,553.30620335139
32.103428,32.104603,34.795796,34.794623,13072,13208,1,170.98558116761166
32.102795,32.104603,34.793726,34.794623,13179,13208,1,217.63668053420815
32.109117,32.107227,34.794712,34.794153,12928,13209,1,216.12465078958206
32.104603,32.107227,34.794623,34.794153,13208,13209,1,294.3423678885874
32.108371,32.10653,34.79409,34.794161,12927,13210,1,204.26186604046444
32.112327,32.10986,34.797919,34.797792,12920,13211,1,273.83274375302256
32.109117,32.10986,34.794712,34.797792,12928,13211,1,302.1513973046749
32.10372,32.104385,34.797126,34.794434,13096,13212,1,264.5795394199063
32.10653,32.104385,34.794161,34.794434,13210,13212,1,239.2546008435313
32.108371,32.109569,34.79409,34.795515,12927,13213,1,189.0454289532711
32.074592,32.080085,34.790584,34.79527,13103,13214,1,752.8504411812664
32.045478,32.050346,34.813616,34.814011,12905,13216,1,541.1031280781851
32.057317,32.050346,34.805055,34.814011,13177,13216,1,1145.841020189832
32.038484,32.050346,34.828142,34.814011,13197,13216,1,1873.9225607608453
32.07038,32.073724,34.825556,34.825028,13156,13218,1,374.1556246795513
32.106049,32.107454,34.81943,34.814433,13099,13219,1,496.7144398761108
32.106365,32.103834,34.816519,34.809664,13093,13220,1,705.2793058789267
32.105513,32.103834,34.81257,34.809664,13153,13220,1,331.51434441110445
32.095376,32.102578,34.794137,34.805312,12910,13221,1,1323.082212852577
32.106708,32.102578,34.802776,34.805312,12936,13221,1,516.7645170633563
32.107454,32.102578,34.814433,34.805312,13219,13221,1,1016.6284887517418
32.063554,32.064045,34.773702,34.775308,13055,13223,1,161.13319938900568
32.066146,32.064045,34.777553,34.775308,13111,13223,1,314.99545416770724
32.053625,32.054767,34.794493,34.791618,12991,13225,1,299.5960369622149
32.070648,32.069472,34.78884,34.783648,12932,13226,1,507.29742194328577
32.06998,32.069472,34.780607,34.783648,12998,13226,1,292.6180727558258
32.091763,32.092113,34.828052,34.832382,13032,13227,1,410.59537963889863
32.089649,32.092113,34.818457,34.832382,13101,13227,1,1342.6478840940956
32.09139,32.092113,34.824447,34.832382,13120,13227,1,753.3529674010995
32.06998,32.068653,34.780607,34.778387,12998,13228,1,256.11672818889065
32.066146,32.068653,34.777553,34.778387,13111,13228,1,288.9435811586546
32.069472,32.068653,34.783648,34.778387,13226,13228,1,505.0038647177456
32.094143,32.09834,34.822193,34.826763,12900,13230,1,634.5924001574618
32.103514,32.09834,34.827868,34.826763,13088,13230,1,583.1558520686863
32.079147,32.079231,34.824971,34.822627,13046,13231,1,221.50303581239632
32.108106,32.105457,34.801446,34.800019,13049,13232,1,323.15870050511876
32.10372,32.105457,34.797126,34.800019,13096,13232,1,334.16595043176017
32.111216,32.105457,34.801737,34.800019,13100,13232,1,658.8903589575784
32.102795,32.105457,34.793726,34.800019,13179,13232,1,663.296711842189
32.111325,32.105457,34.807491,34.800019,13202,13232,1,959.5787419946972
32.055332,32.0526,34.809903,34.813005,13169,13234,1,421.4294560428672
32.050346,32.0526,34.814011,34.813005,13216,13234,1,267.3959878308393
32.12048,32.118763,34.819657,34.817443,13131,13236,1,282.68196928101634
32.121877,32.118763,34.821768,34.817443,13155,13236,1,534.6379177395011
32.077609,32.07972,34.791101,34.7951,12990,13237,1,444.2464623543285
32.075758,32.07972,34.791549,34.7951,13204,13237,1,552.663192304976
32.080094,32.082367,34.788557,34.788869,12903,13238,1,253.77167024331217
32.079787,32.080816,34.787792,34.788879,12814,13239,1,153.46940602419303
32.078868,32.080816,34.788581,34.788879,12946,13239,1,217.84105789237907
32.098809,32.095915,34.827472,34.821682,13203,13240,1,633.8035129191029
32.106733,32.107031,34.830514,34.833789,13030,13241,1,310.87466799750354
32.105466,32.107031,34.827796,34.833789,13087,13241,1,591.6811736052962
32.103514,32.107031,34.827868,34.833789,13088,13241,1,681.4964562605514
